"uni_id","cell_id","video_key","treatment","parent","ancestor","no_data_points","track_length","death_time","survival_time","max_filament_length","max_chromosome_length","max_chromosome_area","diff","avg_protein_load","max_protein_load","post_max_protein_retention","no_protein_bud","bud_produced","row_id"
"7:4","15","7","0","5","0",5,5,15,0.416666666666667,5.124,6.466,"10.64206",0,0,0,0,0,"NO",210
"7:4","16","7","0","5","0",6,5,15,0.416666666666667,5.734,10.37,"15.672852",0.2,0,0,0,0,"NO",211
"7:5","1","7","0","0","1",4,3,3,0.25,9.15,7.93,"14.1398",0.333333333333333,0,0,0,0,"NO",212
"7:5","5","7","0","0","0",14,13,13,1.08333333333333,7.808,8.54,"14.035612",0.0769230769230769,0,0,0,0,"NO",213
"7:5","9","7","0","1","0",8,7,11,0.583333333333333,8.906,14.64,"18.82826",0.142857142857143,1,1,1,0,"NO",214
"7:5","10","7","0","1","0",8,7,11,0.583333333333333,8.906,9.76,"18.292436",0.142857142857143,0,0,0,0,"NO",215
"7:5","8","7","0","0","0",8,7,12,0.583333333333333,7.198,10.614,"16.431936",0.142857142857143,0,0,0,0,"NO",216
"8:2","1","8","0","0","1",8,7,7,0.583333333333333,7.32,12.566,"21.224584",0.142857142857143,0,0,0,0,"NO",217
"8:2","2","8","0","0","0",24,23,23,1.91666666666667,12.078,13.786,"26.880504",0.0434782608695652,1,1,1,0,"NO",218
"8:2","3","8","0","0","1",18,17,17,1.41666666666667,10.858,12.322,"23.51672",0.0588235294117647,0,0,0,0,"NO",219
"8:2","8","8","0","0","1",4,3,11,0.25,9.15,12.688,"23.189272",0.333333333333333,0,0,0,0,"NO",220
"8:2","9","8","0","0","1",4,3,11,0.25,9.15,12.688,"23.189272",0.333333333333333,0,0,0,0,"NO",221
"8:2","10","8","0","9","0",12,11,23,0.916666666666667,6.588,10.126,"14.720276",0.0909090909090909,0,0,0,0,"NO",222
"8:2","11","8","0","9","0",12,11,23,0.916666666666667,7.076,7.442,"12.50256",0.0909090909090909,1,1,1,0,"NO",223
"8:2","12","8","0","8","0",12,11,23,0.916666666666667,7.198,9.638,"16.952876",0.0909090909090909,0,0,0,0,"NO",224
"8:2","13","8","0","8","0",12,11,23,0.916666666666667,5.49,7.686,"14.928652",0.0909090909090909,1,1,1,0,"NO",225
"8:2","14","8","0","3","0",6,5,23,0.416666666666667,9.272,10.37,"20.0934",0.2,1,1,1,0,"NO",226
"8:2","15","8","0","3","0",6,5,23,0.416666666666667,8.418,7.808,"16.268212",0.2,1,1,1,0,"NO",227
"8:3","1","8","0","0","1",14,13,13,1.08333333333333,9.15,13.42,"23.338112",0.0769230769230769,1,1,1,0,"NO",228
"8:3","2","8","0","0","0",14,13,13,1.08333333333333,6.222,9.638,"13.782584",0.0769230769230769,1,1,1,0,"NO",229
"8:3","4","8","0","0","1",13,12,12,1,8.784,13.664,"16.655196",0.0833333333333333,0,0,0,0,"NO",230
"8:3","8","8","0","4","0",11,10,23,0.833333333333333,9.882,15.128,"25.139076",0.1,1,1,1,0,"NO",231
"8:3","9","8","0","4","0",11,10,23,0.833333333333333,9.272,12.078,"20.971556",0.1,1,1,1,0,"NO",232
"8:3","11","8","0","1","0",9,8,22,0.666666666666667,5.124,10.248,"10.106236",0.125,0,0,0,0,"NO",233
"8:3","12","8","0","10","0",8,7,23,0.583333333333333,8.906,10.492,"17.1166",0.142857142857143,0,0,0,0,"NO",234
"8:3","13","8","0","10","0",8,7,23,0.583333333333333,6.832,7.442,"14.898884",0.142857142857143,1,1,1,0,"NO",235
"8:7","1","8","0","0","1",10,9,9,0.75,7.198,14.762,"18.75384",0.111111111111111,0,0,0,0,"NO",236
